Settle time (s),Measured Distance (cm), Error to real distance = 0 cm
0.163,6869.33,-6869.33
0.164,2806.65,-2806.65
0.164,6869.28,-6869.28
0.164,6813.97,-6813.97
0.165,6868.51,-6868.51
0.165,6292.98,-6292.98
0.165,6868.22,-6868.22
0.166,6867.96,-6867.96
0.166,6868.04,-6868.04
0.166,6868.13,-6868.13
0.167,6868.28,-6868.28
0.167,6869.04,-6869.04
0.167,6813.16,-6813.16
0.168,6003.19,-6003.19
0.168,6868.42,-6868.42
0.168,6868.51,-6868.51
0.169,6812.77,-6812.77
0.169,6868.22,-6868.22
0.169,6868.22,-6868.22
0.17,6812.75,-6812.75
0.17,6868.35,-6868.35
0.17,6868.63,-6868.63
0.171,6813.61,-6813.61
0.171,6868.98,-6868.98
0.171,6868.75,-6868.75
0.172,6813.27,-6813.27
0.172,6868.74,-6868.74
0.172,6868.64,-6868.64
0.173,6813.76,-6813.76
0.173,6869.41,-6869.41
0.173,6868.83,-6868.83
0.174,6813.32,-6813.32
0.174,6868.49,-6868.49
0.174,6869.21,-6869.21
0.175,6813.15,-6813.15
0.175,6868.47,-6868.47
0.175,6868.73,-6868.73
0.176,6813.18,-6813.18
0.176,6868.49,-6868.49
0.176,6868.89,-6868.89
0.177,6813.45,-6813.45
0.177,6869.14,-6869.14
0.177,6869.02,-6869.02
0.178,6813.61,-6813.61
0.178,6868.85,-6868.85
0.178,6868.58,-6868.58
0.179,6813.68,-6813.68
0.179,6868.35,-6868.35
0.179,6868.75,-6868.75
0.18,6813.34,-6813.34
0.18,6868.92,-6868.92
0.18,6869.24,-6869.24
0.181,6813.94,-6813.94
0.181,6869.21,-6869.21
0.181,6868.69,-6868.69
0.182,6813.27,-6813.27
0.182,6869.09,-6869.09
0.182,1609.33,-1609.33
0.183,6868.33,-6868.33
0.183,6868.35,-6868.35
0.183,6813.13,-6813.13
0.184,4321.9,-4321.9
0.184,6868.76,-6868.76
0.184,6868.87,-6868.87
0.185,6868.73,-6868.73
0.185,6813.16,-6813.16
0.185,6868.64,-6868.64
0.186,6868.83,-6868.83
0.186,6813.42,-6813.42
0.186,6869.11,-6869.11
0.187,6868.76,-6868.76
0.187,6813.23,-6813.23
0.187,6868.85,-6868.85
0.188,6868.52,-6868.52
0.188,6813.31,-6813.31
0.188,6868.52,-6868.52
0.189,1331.92,-1331.92
0.189,6868.16,-6868.16
0.189,6812.72,-6812.72
0.19,6868.09,-6868.09
0.19,2499.17,-2499.17
0.19,6867.96,-6867.96
0.191,6867.92,-6867.92
0.191,6868.11,-6868.11
0.191,6867.75,-6867.75
0.192,6868.04,-6868.04
0.192,6868.46,-6868.46
0.192,6867.96,-6867.96
0.193,6867.63,-6867.63
0.193,6867.94,-6867.94
0.193,6867.92,-6867.92
0.194,6868.04,-6868.04
0.194,6867.73,-6867.73
0.194,6867.89,-6867.89
0.195,6867.99,-6867.99
0.195,95.25,-95.25
0.195,537.56,-537.56
0.196,455.37,-455.37
0.196,573.65,-573.65
0.196,6812.27,-6812.27
0.197,6867.96,-6867.96
0.197,6868.25,-6868.25
0.197,6813.11,-6813.11
0.198,6867.96,-6867.96
0.198,6868.16,-6868.16
0.198,4183.85,-4183.85
0.199,6812.77,-6812.77
0.199,6868.09,-6868.09
0.199,6868.59,-6868.59
0.2,6812.6,-6812.6
0.2,6868.15,-6868.15
0.2,6868.21,-6868.21
0.201,6812.37,-6812.37
0.201,6868.83,-6868.83
0.201,6868.68,-6868.68
0.202,6813.44,-6813.44
0.202,6868.63,-6868.63
0.202,6868.56,-6868.56
0.203,6813.32,-6813.32
0.203,6868.88,-6868.88
0.203,6868.97,-6868.97
0.204,6813.3,-6813.3
0.204,6868.54,-6868.54
0.204,6868.29,-6868.29
0.205,6813.01,-6813.01
0.205,6868.39,-6868.39
0.205,6868.45,-6868.45
0.206,6812.78,-6812.78
0.206,6868.63,-6868.63
0.206,6868.9,-6868.9
0.207,6813.03,-6813.03
0.207,6869.07,-6869.07
0.207,6868.78,-6868.78
0.208,6813.16,-6813.16
0.208,6868.92,-6868.92
0.208,1797.63,-1797.63
0.209,6868.23,-6868.23
0.209,6868.16,-6868.16
0.209,6812.91,-6812.91
0.21,6868.33,-6868.33
0.21,6868.06,-6868.06
0.21,6812.65,-6812.65
0.211,1735.46,-1735.46
0.211,6812.7,-6812.7
0.211,6868.15,-6868.15
0.212,6867.79,-6867.79
0.212,6812.46,-6812.46
0.212,6867.84,-6867.84
0.213,6868.2,-6868.2
0.213,6813.35,-6813.35
0.213,6868.32,-6868.32
0.214,6868.33,-6868.33
0.214,6813.25,-6813.25
0.214,6868.95,-6868.95
0.215,6868.97,-6868.97
0.215,2432.56,-2432.56
0.215,6868.02,-6868.02
0.216,6867.97,-6867.97
0.216,6868.15,-6868.15
0.216,6868.76,-6868.76
0.217,6868.76,-6868.76
0.217,6868.56,-6868.56
0.217,6869.04,-6869.04
0.218,6869.42,-6869.42
0.218,6868.97,-6868.97
0.218,6869.4,-6869.4
0.219,5238.66,-5238.66
0.219,6869.12,-6869.12
0.219,6868.35,-6868.35
0.22,6868.23,-6868.23
0.22,6813.34,-6813.34
0.22,6868.61,-6868.61
0.221,6868.2,-6868.2
0.221,6812.99,-6812.99
0.221,6868.01,-6868.01
0.222,6868.59,-6868.59
0.222,6812.6,-6812.6
0.222,6868.13,-6868.13
0.223,6869.12,-6869.12
0.223,6813.2,-6813.2
0.223,1749.08,-1749.08
0.224,6868.36,-6868.36
0.224,6867.67,-6867.67
0.224,6867.39,-6867.39
0.225,6812.55,-6812.55
0.225,6867.97,-6867.97
0.225,6867.44,-6867.44
0.226,6812.24,-6812.24
0.226,6868.04,-6868.04
0.226,6868.11,-6868.11
0.227,6812.56,-6812.56
0.227,6867.91,-6867.91
0.227,6867.58,-6867.58
0.228,6812.19,-6812.19
0.228,6868.25,-6868.25
0.228,6868.21,-6868.21
0.229,6812.37,-6812.37
0.229,5599.04,-5599.04
0.229,1550.87,-1550.87
0.23,329.38,-329.38
0.23,246.09,-246.09
0.23,6812.84,-6812.84
0.231,6867.62,-6867.62
0.231,6867.97,-6867.97
0.231,6812.99,-6812.99
0.232,6868.56,-6868.56
0.232,1673.87,-1673.87
0.232,6868.23,-6868.23
0.233,6868.25,-6868.25
0.233,6868.25,-6868.25
0.233,6868.02,-6868.02
0.234,6868.18,-6868.18
0.234,6867.99,-6867.99
0.234,6869.37,-6869.37
0.235,6868.8,-6868.8
0.235,6813.44,-6813.44
0.235,6869.35,-6869.35
0.236,2885.38,-2885.38
0.236,6813.27,-6813.27
0.236,6869.05,-6869.05
0.237,6867.94,-6867.94
0.237,6812.7,-6812.7
0.237,6868.76,-6868.76
0.238,6868.27,-6868.27
0.238,6813.11,-6813.11
0.238,6868.39,-6868.39
0.239,6868.88,-6868.88
0.239,6813.13,-6813.13
0.239,6868.33,-6868.33
0.24,6868.46,-6868.46
0.24,6813.03,-6813.03
0.24,6868.04,-6868.04
0.241,6868.44,-6868.44
0.241,6813.2,-6813.2
0.241,6868.74,-6868.74
0.242,6868.87,-6868.87
0.242,6813.7,-6813.7
0.242,6868.76,-6868.76
0.243,6869.12,-6869.12
0.243,6812.91,-6812.91
0.243,6868.8,-6868.8
0.244,2907.2,-2907.2
0.244,6813.42,-6813.42
0.244,6869.19,-6869.19
0.245,6868.66,-6868.66
0.245,6813.47,-6813.47
0.245,6868.06,-6868.06
0.246,6868.23,-6868.23
0.246,6812.41,-6812.41
0.246,6867.89,-6867.89
0.247,6868.4,-6868.4
0.247,6813.42,-6813.42
0.247,6867.85,-6867.85
0.248,6868.03,-6868.03
0.248,6812.63,-6812.63
0.248,6868.27,-6868.27
0.249,6868.25,-6868.25
0.249,6812.87,-6812.87
0.249,6868.94,-6868.94
0.25,6868.57,-6868.57
0.25,6812.91,-6812.91
0.25,6867.73,-6867.73
0.251,6868.3,-6868.3
0.251,6813.04,-6813.04
0.251,6868.38,-6868.38
0.252,6868.92,-6868.92
0.252,6813.47,-6813.47
0.252,6869.28,-6869.28
0.253,6868.72,-6868.72
0.253,6813.21,-6813.21
0.253,6868.38,-6868.38
0.254,6867.7,-6867.7
0.254,6812.75,-6812.75
0.254,6868.08,-6868.08
0.255,6868.37,-6868.37
0.255,6813.04,-6813.04
0.255,6868.51,-6868.51
0.256,1922.72,-1922.72
0.256,6868.81,-6868.81
0.256,6868.45,-6868.45
0.257,6868.54,-6868.54
0.257,6812.73,-6812.73
0.257,6868.15,-6868.15
0.258,6868.4,-6868.4
0.258,6813.23,-6813.23
0.258,6869.34,-6869.34
0.259,6868.52,-6868.52
0.259,6813.64,-6813.64
0.259,1224.99,-1224.99
0.26,6868.8,-6868.8
0.26,6868.66,-6868.66
0.26,6868.3,-6868.3
0.261,6868.4,-6868.4
0.261,6868.4,-6868.4
0.261,3634.44,-3634.44
0.262,375.69,-375.69
0.262,495.34,-495.34
0.262,388.17,-388.17
0.263,6812.62,-6812.62
0.263,6868.56,-6868.56
0.263,6867.85,-6867.85
0.264,6812.5,-6812.5
0.264,1921.67,-1921.67
0.264,6868.06,-6868.06
0.265,6867.58,-6867.58
0.265,6867.72,-6867.72
0.265,6867.68,-6867.68
0.266,6867.51,-6867.51
0.266,6868.1,-6868.1
0.266,6867.75,-6867.75
0.267,6867.86,-6867.86
0.267,6868.01,-6868.01
0.267,6867.5,-6867.5
0.268,6867.32,-6867.32
0.268,6868.23,-6868.23
0.268,6812.66,-6812.66
0.269,6867.72,-6867.72
0.269,6868.06,-6868.06
0.269,6812.63,-6812.63
0.27,6868.45,-6868.45
0.27,6868.65,-6868.65
0.27,6812.96,-6812.96
0.271,6868.49,-6868.49
0.271,6868.83,-6868.83
0.271,6813.15,-6813.15
0.272,6868.54,-6868.54
0.272,6868.73,-6868.73
0.272,6813.78,-6813.78
0.273,6868.92,-6868.92
0.273,6869.0,-6869.0
0.273,6813.73,-6813.73
0.274,6869.23,-6869.23
0.274,6868.13,-6868.13
0.274,6812.89,-6812.89
0.275,6868.21,-6868.21
0.275,6867.94,-6867.94
0.275,6813.02,-6813.02
